ads_flag.csv,1532121, 0.0951, 31.50, 7.04, 64, 64, 0.0249, 0.0128
hm_0.csv,3993316, 0.6450, 7.37, 8.34, 320, 732, 0.0130, 0.0428
hm_1.csv,609312, 0.0466, 14.93, 19.96, 256, 512, 0.0010, 0.1232
mds_0.csv,1211035, 0.8811, 23.71, 7.24, 128, 268, 0.0204, 0.0082
mds_1.csv,1637712, 0.0712, 60.09, 13.84, 80, 256, 0.5157, 0.0777
prn_0.csv,5585887, 0.8921, 22.84, 9.67, 1024, 424, 0.0261, 0.0946
prn_1.csv,11233412, 0.2466, 22.47, 11.66, 1024, 528, 0.4449, 0.0493
proj_0.csv,4224525, 0.8752, 17.84, 40.92, 128, 724, 0.0123, 0.5500
proj_2.csv,29266483, 0.1239, 41.55, 48.80, 448, 64, 0.8500, 0.6310
proj_3.csv,2244645, 0.0518, 8.99, 23.67, 512, 64, 0.0367, 0.2764
proj_4.csv,6465640, 0.0148, 23.64, 11.04, 64, 64, 0.7079, 0.0859
prxy_0.csv,12518969, 0.9694, 8.33, 4.65, 1024, 364, 0.0021, 0.0365
rsrch_1.csv,13781, 0.9970, 13.21, 12.17, 64, 32, 0.0000, 0.0789
rsrch_2.csv,207588, 0.3431, 4.00, 4.25, 12, 4, 0.0046, 0.0000
src1_0.csv,1, 1.0000, -nan, 16383.00, 16383, 0, 0.0000, 1.0000
src1_1.csv,1, 1.0000, -nan, 16383.50, 16383, 0, 0.0000, 1.0000
src1_2.csv,1907774, 0.7463, 19.11, 32.52, 1024, 684, 0.0109, 0.3996
src2_0.csv,1557815, 0.8866, 8.10, 7.09, 1024, 508, 0.0028, 0.0107
src2_1.csv,657775, 0.0214, 60.31, 13.36, 64, 64, 0.1249, 0.0868
src2_2.csv,1156886, 0.6967, 68.08, 51.11, 64, 128, 0.1409, 0.7692
stg_0.csv,2030916, 0.8481, 24.92, 9.19, 128, 5800, 0.0426, 0.0229
stg_1.csv,2196862, 0.3625, 59.54, 7.88, 80, 64, 0.5527, 0.0214
ts_0.csv,1801735, 0.8242, 13.68, 8.01, 1020, 5792, 0.0035, 0.0081
usr_0.csv,2237890, 0.5958, 40.92, 10.28, 128, 6260, 0.0147, 0.0238
usr_1.csv,1, 1.0000, -nan, 16382.00, 16382, 0, 0.0000, 1.0000
usr_2.csv,10570047, 0.1887, 50.78, 13.91, 512, 64, 0.8500, 0.0997
wdev_0.csv,1143262, 0.7992, 12.57, 8.20, 160, 948, 0.0014, 0.0202
wdev_1.csv,1056, 1.0000, -nan, 5.18, 60, 0, 0.0000, 0.0000
wdev_2.csv,181267, 0.9990, 6.12, 8.15, 64, 51, 0.0000, 0.0190
wdev_3.csv,683, 0.9824, 63.33, 4.35, 60, 64, 0.0000, 0.0000
web_0.csv,2029946, 0.7012, 30.00, 8.60, 1600, 868, 0.0500, 0.0225
web_1.csv,160892, 0.4589, 45.90, 9.22, 64, 64, 0.0255, 0.0101
web_2.csv,5175369, 0.0075, 53.65, 21.09, 1024, 64, 0.4629, 0.0351
web_3.csv,31381, 0.6797, 74.89, 20.83, 144, 1024, 0.0016, 0.0773
mds_0.csv,1211035, 0.8811, 23.71, 7.24, 128, 268, 0.0204, 0.0724
web_0.csv,2029946, 0.7012, 30.00, 8.60, 1600, 868, 0.0500, 0.1686
ts_0.csv,1801735, 0.8242, 13.68, 8.01, 1020, 5792, 0.0035, 0.0648
1711-LUN3.csv,1728464, 0.3056, 25.69, 16.25, 512, 200, 0.1435, 0.6335 |  lun2
1813-LUN2.csv,3222526, 0.1344, 17.15, 10.02, 128, 302, 0.2543, 0.3884 |  lun1   
1708-LUN4.csv,1566987, 0.2183, 19.35, 16.62, 512, 200, 0.1392, 0.5101 |  lun0
1708-LUN4-sort.csv,1566987, 0.2183, 19.35, 16.62, 512, 200, 0.1392, 0.0000, 47401372, 11368511
1711-LUN3_sort.csv,1728464, 0.3056, 25.69, 16.25, 512, 200, 0.1435, 0.0000, 61661621, 17164815
1813-LUN2-sort.csv,3222526, 0.1344, 17.15, 10.02, 128, 302, 0.2543, 0.0000, 95678865, 8677220
web_0-sort.csv,960182, 0.6329, 31.31, 8.46, 1600, 868, 0.0494, 0.0000, 22076820, 10276083
ts_0-sort.csv,1801735, 0.8242, 13.68, 8.01, 1020, 5792, 0.0035, 0.0000, 8664094, 23781078
mds_0_sort.csv,1211035, 0.8811, 23.71, 7.24, 128, 268, 0.0204, 0.0000, 6826913, 15446047
